ID,indicator,R1,G1,B1,R2,G2,B2,asymetry,border_irregularity,mean_distance
ISIC_0029287,0.21759839285369303,0.6827309236947792,0.29535864978902954,0.2875,0.503968253968254,0.1694915254237288,0.18907563025210083,0.006439118749410285,0.012324167775634188,0.02180410846870044
ISIC_0027053,0.18959809278837553,0.5943775100401606,0.4092827004219409,0.39166666666666666,0.47619047619047616,0.2754237288135593,0.27310924369747897,0.013675970685609032,0.015448407516194761,0.08259719762070934
ISIC_0061554,0.25471237429181903,0.5140562248995983,0.4472573839662447,0.4375,0.3373015873015873,0.2923728813559322,0.2857142857142857,0.18365582087357799,0.22536542419885686,0.20743997366155634
ISIC_0014595,0.051356182539440944,0.714859437751004,0.6033755274261603,0.5208333333333334,0.8690476190476191,0.7923728813559322,0.726890756302521,0.2761572702168235,0.008830564132882246,0.4134607027466886
ISIC_0054435,0.34826500253474646,0.5662650602409639,0.4388185654008439,0.37916666666666665,0.29365079365079366,0.2288135593220339,0.21008403361344538,0.003712038888453087,0.004913047863856849,0.09312527297332175
ISIC_0012710,0.15747329892775283,0.6987951807228916,0.5274261603375527,0.39166666666666666,0.6507936507936508,0.4279661016949153,0.25630252100840334,0.012908537491440797,0.062418643559086474,0.5158380328602217
ISIC_0027965,0.09904808609942585,0.7068273092369478,0.25316455696202533,0.2125,0.6309523809523809,0.1906779661016949,0.15966386554621848,0.025489359342508653,0.035202798404372584,0.10793535838438381
ISIC_0026261,0.21486275507796262,0.6867469879518072,0.26582278481012656,0.23333333333333334,0.5158730158730159,0.13983050847457626,0.13025210084033614,0.015580783422968812,0.02483513398677331,0.056596951873150295
ISIC_0026613,0.2363547934506941,0.6867469879518072,0.28270042194092826,0.26666666666666666,0.49603174603174605,0.1440677966101695,0.15966386554621848,0.001652209562346883,0.013292201549209877,0.141206471081995
ISIC_0032075,0.20196081127353346,0.8393574297188755,0.4767932489451477,0.5333333333333333,0.6904761904761905,0.3601694915254237,0.3907563025210084,0.010010826477643871,0.06017714333861864,0.10850339752610587
ISIC_0072430,0.12265999282341597,0.5421686746987951,0.5654008438818565,0.575,0.4523809523809524,0.4491525423728814,0.4831932773109244,0.08827474356047203,0.09270457338019188,0.20789080689831455
ISIC_0059274,0.16500383971138657,0.6345381526104418,0.5949367088607594,0.5583333333333333,0.5595238095238095,0.4957627118644068,0.42857142857142855,0.023249765080595168,0.03962160916504154,0.3068979523818827
ISIC_0065907,0.1643461897070913,0.6987951807228916,0.5316455696202531,0.4625,0.626984126984127,0.4067796610169492,0.3403361344537815,0.02679765373305816,0.01209508799756899,0.28660563279285967
ISIC_0027278,0.08777655259331245,0.7871485943775101,0.39662447257383965,0.42083333333333334,0.7261904761904762,0.3220338983050847,0.35294117647058826,0.08358647142679805,0.03399306491954868,0.1866420227526357
ISIC_0064538,0.12958978723803943,0.6947791164658634,0.5949367088607594,0.55,0.626984126984127,0.5,0.453781512605042,0.07976895568709454,0.14114493309666895,0.16914390471077165
ISIC_0032796,0.13867656058258215,0.6907630522088354,0.5485232067510548,0.625,0.7658730158730159,0.6694915254237288,0.7563025210084033,0.06127445189562359,0.03612101327837104,0.22254056858745772
ISIC_0071972,0.16425250084799298,0.41365461847389556,0.24472573839662448,0.1625,0.15873015873015872,0.11440677966101695,0.10504201680672269,0.02911051935846965,0.012671609881908704,0.1586003920783171
ISIC_0032852,0.1302367156585153,0.5381526104417671,0.23628691983122363,0.3,0.4642857142857143,0.15677966101694915,0.20588235294117646,0.021469453015293356,0.014157094240481475,0.06544981168715944
ISIC_0065700,0.1783794809678558,0.3373493975903614,0.25316455696202533,0.17916666666666667,0.17857142857142858,0.13135593220338984,0.09243697478991597,0.010013023091795126,0.018013850168913444,0.20440151967386572
